name,type,contactPerson,phone,email,address,kraPin,paymentTermsDays,chargeVat,vatMode,openingBalance
IBINDA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
IBUBI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
IKOMERO JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
IKUMU PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
IRUMBI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
ITABALIA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
KABONDO JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
KAGILO PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
KAMBARE JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
KANYADET PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
KANYUTO PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
KARUA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
KAYILA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
KHUMUSENO JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
KHWILIBA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
KHWISERO JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
KIJANA GLOBAL SCHOOL,SCHOOL,,,,,,30,,,0
KOJUOK PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
KULUWINU PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
LIGEGA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
LIHANDA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
LUDHA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
LURI PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
LWENYA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
MABANGA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
MAHANGA PRIMARY SCHOOL,SCHOOL,,,,,,30,,,0
MAJIWA JUNIOR SCHOOL,SCHOOL,,,,,,30,,,0
